[2025-07-11 21:19:28,554] INFO - 🚀 Starting preprocessing...
[2025-07-11 21:19:51,962] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-07-11 21:19:51,972] INFO - 🧹 Cleaning text...
[2025-07-11 21:19:52,749] INFO - ✅ Text cleaned.
[2025-07-11 21:19:52,750] INFO - 🔠 Vectorizing using TF-IDF...
[2025-07-11 21:19:52,902] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-07-11 21:19:52,903] INFO - 📐 Calculating cosine similarity...
[2025-07-11 21:19:53,219] INFO - ✅ Cosine similarity matrix generated.
[2025-07-11 21:19:53,330] INFO - 💾 Data saved to disk.
[2025-07-11 21:19:53,331] INFO - ✅ Preprocessing complete.
[2025-07-12 00:28:42,777] INFO - 🚀 Starting preprocessing...
[2025-07-12 00:28:54,893] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-07-12 00:28:54,909] INFO - 🧹 Cleaning text...
[2025-07-12 00:28:55,643] INFO - ✅ Text cleaned.
[2025-07-12 00:28:55,643] INFO - 🔠 Vectorizing using TF-IDF...
[2025-07-12 00:28:55,792] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-07-12 00:28:55,792] INFO - 📐 Calculating cosine similarity...
[2025-07-12 00:28:56,057] INFO - ✅ Cosine similarity matrix generated.
[2025-07-12 00:28:56,164] INFO - 💾 Data saved to disk.
[2025-07-12 00:28:56,164] INFO - ✅ Preprocessing complete.
